gen,attempt_add,exec_add,attempt_del,exec_del,attempt_mod,exec_mod,attempt_mode,exec_mode,attempt_total,exec_total,attempt_share_add,attempt_share_del,attempt_share_mod,attempt_share_mode,exec_share_add,exec_share_del,exec_share_mod,exec_share_mode,success_rate,success_add,success_del,success_mod,success_mode
0,5,3,3,3,9,5,4,0,21,11,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.19047619047619047,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,0.5238095238095238,0.6,1.0,0.5555555555555556,0.0
1,2,2,0,0,7,0,7,0,16,2,0.125,0.0,0.4375,0.4375,1.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0
2,10,10,3,3,7,2,5,0,25,15,0.4,0.12,0.28,0.2,0.6666666666666666,0.2,0.13333333333333333,0.0,0.6,1.0,1.0,0.2857142857142857,0.0
3,3,2,2,2,11,4,3,0,19,8,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.15789473684210525,0.25,0.25,0.5,0.0,0.42105263157894735,0.6666666666666666,1.0,0.36363636363636365,0.0
4,2,2,2,2,6,1,1,0,11,5,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.4,0.4,0.2,0.0,0.45454545454545453,1.0,1.0,0.16666666666666666,0.0
5,4,4,0,0,7,1,3,0,14,5,0.2857142857142857,0.0,0.5,0.21428571428571427,0.8,0.0,0.2,0.0,0.35714285714285715,1.0,0.0,0.14285714285714285,0.0
6,7,7,2,2,7,2,4,0,20,11,0.35,0.1,0.35,0.2,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,0.55,1.0,1.0,0.2857142857142857,0.0
7,5,5,0,0,6,2,2,0,13,7,0.38461538461538464,0.0,0.46153846153846156,0.15384615384615385,0.7142857142857143,0.0,0.2857142857142857,0.0,0.5384615384615384,1.0,0.0,0.3333333333333333,0.0
8,8,7,1,1,8,2,5,0,22,10,0.36363636363636365,0.045454545454545456,0.36363636363636365,0.22727272727272727,0.7,0.1,0.2,0.0,0.45454545454545453,0.875,1.0,0.25,0.0
9,3,2,2,2,13,3,3,0,21,7,0.14285714285714285,0.09523809523809523,0.6190476190476191,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.3333333333333333,0.6666666666666666,1.0,0.23076923076923078,0.0
10,5,4,0,0,7,2,7,0,19,6,0.2631578947368421,0.0,0.3684210526315789,0.3684210526315789,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3157894736842105,0.8,0.0,0.2857142857142857,0.0
11,4,4,1,1,9,2,1,0,15,7,0.26666666666666666,0.06666666666666667,0.6,0.06666666666666667,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.4666666666666667,1.0,1.0,0.2222222222222222,0.0
12,4,3,1,1,9,1,6,0,20,5,0.2,0.05,0.45,0.3,0.6,0.2,0.2,0.0,0.25,0.75,1.0,0.1111111111111111,0.0
13,7,7,1,1,9,0,7,0,24,8,0.2916666666666667,0.041666666666666664,0.375,0.2916666666666667,0.875,0.125,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0
14,6,5,0,0,5,2,5,0,16,7,0.375,0.0,0.3125,0.3125,0.7142857142857143,0.0,0.2857142857142857,0.0,0.4375,0.8333333333333334,0.0,0.4,0.0
15,5,5,3,3,13,4,4,0,25,12,0.2,0.12,0.52,0.16,0.4166666666666667,0.25,0.3333333333333333,0.0,0.48,1.0,1.0,0.3076923076923077,0.0
16,5,4,2,2,12,4,1,0,20,10,0.25,0.1,0.6,0.05,0.4,0.2,0.4,0.0,0.5,0.8,1.0,0.3333333333333333,0.0
17,4,3,2,2,8,3,2,0,16,8,0.25,0.125,0.5,0.125,0.375,0.25,0.375,0.0,0.5,0.75,1.0,0.375,0.0
18,4,3,0,0,11,5,4,0,19,8,0.21052631578947367,0.0,0.5789473684210527,0.21052631578947367,0.375,0.0,0.625,0.0,0.42105263157894735,0.75,0.0,0.45454545454545453,0.0
19,2,2,1,1,5,1,3,0,11,4,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.5,0.25,0.25,0.0,0.36363636363636365,1.0,1.0,0.2,0.0
20,3,3,2,2,8,2,3,0,16,7,0.1875,0.125,0.5,0.1875,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4375,1.0,1.0,0.25,0.0
21,4,3,2,2,9,3,4,0,19,8,0.21052631578947367,0.10526315789473684,0.47368421052631576,0.21052631578947367,0.375,0.25,0.375,0.0,0.42105263157894735,0.75,1.0,0.3333333333333333,0.0
22,6,4,1,1,11,6,1,0,19,11,0.3157894736842105,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.0,0.5789473684210527,0.6666666666666666,1.0,0.5454545454545454,0.0
23,4,4,1,1,5,1,3,0,13,6,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.46153846153846156,1.0,1.0,0.2,0.0
24,4,3,0,0,6,2,7,0,17,5,0.23529411764705882,0.0,0.35294117647058826,0.4117647058823529,0.6,0.0,0.4,0.0,0.29411764705882354,0.75,0.0,0.3333333333333333,0.0
25,4,3,2,2,7,2,7,0,20,7,0.2,0.1,0.35,0.35,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.35,0.75,1.0,0.2857142857142857,0.0
26,4,4,2,2,9,3,6,0,21,9,0.19047619047619047,0.09523809523809523,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.42857142857142855,1.0,1.0,0.3333333333333333,0.0
27,9,8,1,1,6,1,4,0,20,10,0.45,0.05,0.3,0.2,0.8,0.1,0.1,0.0,0.5,0.8888888888888888,1.0,0.16666666666666666,0.0
28,6,4,1,1,12,4,4,0,23,9,0.2608695652173913,0.043478260869565216,0.5217391304347826,0.17391304347826086,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.391304347826087,0.6666666666666666,1.0,0.3333333333333333,0.0
29,6,4,1,1,7,2,4,0,18,7,0.3333333333333333,0.05555555555555555,0.3888888888888889,0.2222222222222222,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.3888888888888889,0.6666666666666666,1.0,0.2857142857142857,0.0
30,8,6,1,1,7,1,7,0,23,8,0.34782608695652173,0.043478260869565216,0.30434782608695654,0.30434782608695654,0.75,0.125,0.125,0.0,0.34782608695652173,0.75,1.0,0.14285714285714285,0.0
31,5,5,1,1,4,2,4,0,14,8,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.625,0.125,0.25,0.0,0.5714285714285714,1.0,1.0,0.5,0.0
32,4,3,2,2,5,2,5,0,16,7,0.25,0.125,0.3125,0.3125,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4375,0.75,1.0,0.4,0.0
33,4,4,2,2,6,3,6,0,18,9,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.5,1.0,1.0,0.5,0.0
34,4,3,0,0,14,5,3,0,21,8,0.19047619047619047,0.0,0.6666666666666666,0.14285714285714285,0.375,0.0,0.625,0.0,0.38095238095238093,0.75,0.0,0.35714285714285715,0.0
35,8,7,2,2,8,4,4,0,22,13,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.0,0.5909090909090909,0.875,1.0,0.5,0.0
36,5,4,1,1,8,2,3,0,17,7,0.29411764705882354,0.058823529411764705,0.47058823529411764,0.17647058823529413,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.4117647058823529,0.8,1.0,0.25,0.0
37,3,3,0,0,10,2,2,0,15,5,0.2,0.0,0.6666666666666666,0.13333333333333333,0.6,0.0,0.4,0.0,0.3333333333333333,1.0,0.0,0.2,0.0
38,5,4,1,1,3,1,3,0,12,6,0.4166666666666667,0.08333333333333333,0.25,0.25,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.8,1.0,0.3333333333333333,0.0
39,7,7,2,2,4,2,4,0,17,11,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,0.6470588235294118,1.0,1.0,0.5,0.0
40,6,5,2,2,7,1,3,0,18,8,0.3333333333333333,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.625,0.25,0.125,0.0,0.4444444444444444,0.8333333333333334,1.0,0.14285714285714285,0.0
41,7,6,2,2,6,1,5,0,20,9,0.35,0.1,0.3,0.25,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.45,0.8571428571428571,1.0,0.16666666666666666,0.0
42,5,5,2,2,11,4,3,0,21,11,0.23809523809523808,0.09523809523809523,0.5238095238095238,0.14285714285714285,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.0,0.5238095238095238,1.0,1.0,0.36363636363636365,0.0
43,2,1,1,1,8,3,7,0,18,5,0.1111111111111111,0.05555555555555555,0.4444444444444444,0.3888888888888889,0.2,0.2,0.6,0.0,0.2777777777777778,0.5,1.0,0.375,0.0
44,4,2,1,1,6,1,8,0,19,4,0.21052631578947367,0.05263157894736842,0.3157894736842105,0.42105263157894735,0.5,0.25,0.25,0.0,0.21052631578947367,0.5,1.0,0.16666666666666666,0.0
45,5,4,0,0,11,4,5,0,21,8,0.23809523809523808,0.0,0.5238095238095238,0.23809523809523808,0.5,0.0,0.5,0.0,0.38095238095238093,0.8,0.0,0.36363636363636365,0.0
46,4,4,2,2,6,1,2,0,14,7,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.5,1.0,1.0,0.16666666666666666,0.0
47,4,3,0,0,8,1,3,0,15,4,0.26666666666666666,0.0,0.5333333333333333,0.2,0.75,0.0,0.25,0.0,0.26666666666666666,0.75,0.0,0.125,0.0
48,5,3,0,0,11,2,8,0,24,5,0.20833333333333334,0.0,0.4583333333333333,0.3333333333333333,0.6,0.0,0.4,0.0,0.20833333333333334,0.6,0.0,0.18181818181818182,0.0
49,4,4,3,3,6,2,5,0,18,9,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.5,1.0,1.0,0.3333333333333333,0.0
50,5,4,1,1,6,1,3,0,15,6,0.3333333333333333,0.06666666666666667,0.4,0.2,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.4,0.8,1.0,0.16666666666666666,0.0
51,3,3,1,1,11,5,6,0,21,9,0.14285714285714285,0.047619047619047616,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.42857142857142855,1.0,1.0,0.45454545454545453,0.0
52,4,4,2,2,9,5,5,0,20,11,0.2,0.1,0.45,0.25,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.0,0.55,1.0,1.0,0.5555555555555556,0.0
53,5,4,1,1,10,4,4,0,20,9,0.25,0.05,0.5,0.2,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.45,0.8,1.0,0.4,0.0
54,9,8,2,2,7,2,5,0,23,12,0.391304347826087,0.08695652173913043,0.30434782608695654,0.21739130434782608,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5217391304347826,0.8888888888888888,1.0,0.2857142857142857,0.0
55,6,5,3,3,6,4,3,0,18,12,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,1.0,0.6666666666666666,0.0
56,2,1,2,2,12,4,4,0,20,7,0.1,0.1,0.6,0.2,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.35,0.5,1.0,0.3333333333333333,0.0
57,6,6,0,0,7,2,4,0,17,8,0.35294117647058826,0.0,0.4117647058823529,0.23529411764705882,0.75,0.0,0.25,0.0,0.47058823529411764,1.0,0.0,0.2857142857142857,0.0
58,6,4,1,1,6,2,6,0,19,7,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.3684210526315789,0.6666666666666666,1.0,0.3333333333333333,0.0
59,9,8,1,1,2,0,4,0,16,9,0.5625,0.0625,0.125,0.25,0.8888888888888888,0.1111111111111111,0.0,0.0,0.5625,0.8888888888888888,1.0,0.0,0.0
60,5,4,0,0,12,3,2,0,19,7,0.2631578947368421,0.0,0.631578947368421,0.10526315789473684,0.5714285714285714,0.0,0.42857142857142855,0.0,0.3684210526315789,0.8,0.0,0.25,0.0
61,8,7,0,0,9,2,2,0,19,9,0.42105263157894735,0.0,0.47368421052631576,0.10526315789473684,0.7777777777777778,0.0,0.2222222222222222,0.0,0.47368421052631576,0.875,0.0,0.2222222222222222,0.0
62,10,10,2,2,8,4,4,0,24,16,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.625,0.125,0.25,0.0,0.6666666666666666,1.0,1.0,0.5,0.0
63,3,3,2,2,6,1,5,0,16,6,0.1875,0.125,0.375,0.3125,0.5,0.3333333333333333,0.16666666666666666,0.0,0.375,1.0,1.0,0.16666666666666666,0.0
64,4,2,2,2,10,3,4,0,20,7,0.2,0.1,0.5,0.2,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.35,0.5,1.0,0.3,0.0
65,5,5,0,0,7,1,7,0,19,6,0.2631578947368421,0.0,0.3684210526315789,0.3684210526315789,0.8333333333333334,0.0,0.16666666666666666,0.0,0.3157894736842105,1.0,0.0,0.14285714285714285,0.0
66,5,4,1,1,6,2,6,0,18,7,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.3888888888888889,0.8,1.0,0.3333333333333333,0.0
67,4,3,1,1,8,3,8,0,21,7,0.19047619047619047,0.047619047619047616,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.3333333333333333,0.75,1.0,0.375,0.0
68,5,4,2,2,6,1,3,0,16,7,0.3125,0.125,0.375,0.1875,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.4375,0.8,1.0,0.16666666666666666,0.0
69,3,3,3,3,5,0,11,0,22,6,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.5,0.5,0.5,0.0,0.0,0.2727272727272727,1.0,1.0,0.0,0.0
70,4,4,1,1,13,3,5,0,23,8,0.17391304347826086,0.043478260869565216,0.5652173913043478,0.21739130434782608,0.5,0.125,0.375,0.0,0.34782608695652173,1.0,1.0,0.23076923076923078,0.0
71,6,6,1,1,6,0,5,0,18,7,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.2777777777777778,0.8571428571428571,0.14285714285714285,0.0,0.0,0.3888888888888889,1.0,1.0,0.0,0.0
72,6,6,1,1,8,5,2,0,17,12,0.35294117647058826,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.5,0.08333333333333333,0.4166666666666667,0.0,0.7058823529411765,1.0,1.0,0.625,0.0
73,7,6,0,0,8,2,6,0,21,8,0.3333333333333333,0.0,0.38095238095238093,0.2857142857142857,0.75,0.0,0.25,0.0,0.38095238095238093,0.8571428571428571,0.0,0.25,0.0
74,6,5,0,0,7,3,5,0,18,8,0.3333333333333333,0.0,0.3888888888888889,0.2777777777777778,0.625,0.0,0.375,0.0,0.4444444444444444,0.8333333333333334,0.0,0.42857142857142855,0.0
75,5,4,0,0,7,4,4,0,16,8,0.3125,0.0,0.4375,0.25,0.5,0.0,0.5,0.0,0.5,0.8,0.0,0.5714285714285714,0.0
76,12,11,2,2,4,2,2,0,20,15,0.6,0.1,0.2,0.1,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.75,0.9166666666666666,1.0,0.5,0.0
77,3,2,2,2,4,1,3,0,12,5,0.25,0.16666666666666666,0.3333333333333333,0.25,0.4,0.4,0.2,0.0,0.4166666666666667,0.6666666666666666,1.0,0.25,0.0
78,4,2,1,1,9,1,4,0,18,4,0.2222222222222222,0.05555555555555555,0.5,0.2222222222222222,0.5,0.25,0.25,0.0,0.2222222222222222,0.5,1.0,0.1111111111111111,0.0
79,5,4,2,2,10,4,6,0,23,10,0.21739130434782608,0.08695652173913043,0.43478260869565216,0.2608695652173913,0.4,0.2,0.4,0.0,0.43478260869565216,0.8,1.0,0.4,0.0
80,4,4,2,2,8,2,5,0,19,8,0.21052631578947367,0.10526315789473684,0.42105263157894735,0.2631578947368421,0.5,0.25,0.25,0.0,0.42105263157894735,1.0,1.0,0.25,0.0
81,4,4,1,1,11,4,2,0,18,9,0.2222222222222222,0.05555555555555555,0.6111111111111112,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.5,1.0,1.0,0.36363636363636365,0.0
82,5,5,1,1,6,1,2,0,14,7,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.5,1.0,1.0,0.16666666666666666,0.0
83,9,9,1,1,5,2,4,0,19,12,0.47368421052631576,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.75,0.08333333333333333,0.16666666666666666,0.0,0.631578947368421,1.0,1.0,0.4,0.0
84,3,3,1,1,10,4,5,0,19,8,0.15789473684210525,0.05263157894736842,0.5263157894736842,0.2631578947368421,0.375,0.125,0.5,0.0,0.42105263157894735,1.0,1.0,0.4,0.0
85,2,2,1,1,10,3,3,0,16,6,0.125,0.0625,0.625,0.1875,0.3333333333333333,0.16666666666666666,0.5,0.0,0.375,1.0,1.0,0.3,0.0
86,8,8,2,2,4,1,1,0,15,11,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,0.7333333333333333,1.0,1.0,0.25,0.0
87,5,4,1,1,10,2,8,0,24,7,0.20833333333333334,0.041666666666666664,0.4166666666666667,0.3333333333333333,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.2916666666666667,0.8,1.0,0.2,0.0
88,7,6,2,2,10,4,6,0,25,12,0.28,0.08,0.4,0.24,0.5,0.16666666666666666,0.3333333333333333,0.0,0.48,0.8571428571428571,1.0,0.4,0.0
89,3,3,1,1,5,1,8,0,17,5,0.17647058823529413,0.058823529411764705,0.29411764705882354,0.47058823529411764,0.6,0.2,0.2,0.0,0.29411764705882354,1.0,1.0,0.2,0.0
90,3,2,1,1,1,0,5,0,10,3,0.3,0.1,0.1,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3,0.6666666666666666,1.0,0.0,0.0
91,3,3,2,2,13,2,3,0,21,7,0.14285714285714285,0.09523809523809523,0.6190476190476191,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,1.0,1.0,0.15384615384615385,0.0
92,9,8,0,0,7,1,4,0,20,9,0.45,0.0,0.35,0.2,0.8888888888888888,0.0,0.1111111111111111,0.0,0.45,0.8888888888888888,0.0,0.14285714285714285,0.0
93,8,8,0,0,5,2,6,0,19,10,0.42105263157894735,0.0,0.2631578947368421,0.3157894736842105,0.8,0.0,0.2,0.0,0.5263157894736842,1.0,0.0,0.4,0.0
94,7,6,4,4,8,3,2,0,21,13,0.3333333333333333,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,0.6190476190476191,0.8571428571428571,1.0,0.375,0.0
95,7,6,1,1,5,3,6,0,19,10,0.3684210526315789,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.6,0.1,0.3,0.0,0.5263157894736842,0.8571428571428571,1.0,0.6,0.0
96,8,7,1,1,11,2,5,0,25,10,0.32,0.04,0.44,0.2,0.7,0.1,0.2,0.0,0.4,0.875,1.0,0.18181818181818182,0.0
