gen,attempt_add,exec_add,attempt_del,exec_del,attempt_mod,exec_mod,attempt_mode,exec_mode,attempt_total,exec_total,attempt_share_add,attempt_share_del,attempt_share_mod,attempt_share_mode,exec_share_add,exec_share_del,exec_share_mod,exec_share_mode,success_rate,success_add,success_del,success_mod,success_mode
97,6,6,1,1,12,5,3,0,22,12,0.2727272727272727,0.045454545454545456,0.5454545454545454,0.13636363636363635,0.5,0.08333333333333333,0.4166666666666667,0.0,0.5454545454545454,1.0,1.0,0.4166666666666667,0.0
98,5,5,1,1,9,3,3,0,18,9,0.2777777777777778,0.05555555555555555,0.5,0.16666666666666666,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.5,1.0,1.0,0.3333333333333333,0.0
99,3,3,2,2,6,2,6,0,17,7,0.17647058823529413,0.11764705882352941,0.35294117647058826,0.35294117647058826,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4117647058823529,1.0,1.0,0.3333333333333333,0.0
100,2,2,1,1,10,2,6,0,19,5,0.10526315789473684,0.05263157894736842,0.5263157894736842,0.3157894736842105,0.4,0.2,0.4,0.0,0.2631578947368421,1.0,1.0,0.2,0.0
101,5,3,2,2,6,2,4,0,17,7,0.29411764705882354,0.11764705882352941,0.35294117647058826,0.23529411764705882,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4117647058823529,0.6,1.0,0.3333333333333333,0.0
102,5,5,2,2,4,2,9,0,20,9,0.25,0.1,0.2,0.45,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,0.45,1.0,1.0,0.5,0.0
103,5,4,0,0,7,0,9,0,21,4,0.23809523809523808,0.0,0.3333333333333333,0.42857142857142855,1.0,0.0,0.0,0.0,0.19047619047619047,0.8,0.0,0.0,0.0
104,8,8,0,0,4,1,5,0,17,9,0.47058823529411764,0.0,0.23529411764705882,0.29411764705882354,0.8888888888888888,0.0,0.1111111111111111,0.0,0.5294117647058824,1.0,0.0,0.25,0.0
105,6,4,0,0,6,2,2,0,14,6,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.0,0.3333333333333333,0.0,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0.0
106,3,3,4,4,11,3,4,0,22,10,0.13636363636363635,0.18181818181818182,0.5,0.18181818181818182,0.3,0.4,0.3,0.0,0.45454545454545453,1.0,1.0,0.2727272727272727,0.0
107,10,9,1,1,5,1,3,0,19,11,0.5263157894736842,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.5789473684210527,0.9,1.0,0.2,0.0
108,2,1,2,2,8,4,5,0,17,7,0.11764705882352941,0.11764705882352941,0.47058823529411764,0.29411764705882354,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.4117647058823529,0.5,1.0,0.5,0.0
109,3,3,2,2,6,1,3,0,14,6,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.5,0.3333333333333333,0.16666666666666666,0.0,0.42857142857142855,1.0,1.0,0.16666666666666666,0.0
110,5,4,2,2,9,3,3,0,19,9,0.2631578947368421,0.10526315789473684,0.47368421052631576,0.15789473684210525,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.47368421052631576,0.8,1.0,0.3333333333333333,0.0
111,6,6,1,1,8,2,6,0,21,9,0.2857142857142857,0.047619047619047616,0.38095238095238093,0.2857142857142857,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0,0.42857142857142855,1.0,1.0,0.25,0.0
112,4,2,0,0,14,6,4,0,22,8,0.18181818181818182,0.0,0.6363636363636364,0.18181818181818182,0.25,0.0,0.75,0.0,0.36363636363636365,0.5,0.0,0.42857142857142855,0.0
113,6,5,2,2,2,1,7,0,17,8,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.625,0.25,0.125,0.0,0.47058823529411764,0.8333333333333334,1.0,0.5,0.0
114,4,3,1,1,9,5,5,0,19,9,0.21052631578947367,0.05263157894736842,0.47368421052631576,0.2631578947368421,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.47368421052631576,0.75,1.0,0.5555555555555556,0.0
115,5,4,1,1,3,0,4,0,13,5,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.8,0.2,0.0,0.0,0.38461538461538464,0.8,1.0,0.0,0.0
116,5,4,1,1,6,1,3,0,15,6,0.3333333333333333,0.06666666666666667,0.4,0.2,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.4,0.8,1.0,0.16666666666666666,0.0
117,7,6,1,1,18,9,3,0,29,16,0.2413793103448276,0.034482758620689655,0.6206896551724138,0.10344827586206896,0.375,0.0625,0.5625,0.0,0.5517241379310345,0.8571428571428571,1.0,0.5,0.0
118,4,4,0,0,5,0,3,0,12,4,0.3333333333333333,0.0,0.4166666666666667,0.25,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
119,7,7,4,4,5,2,3,0,19,13,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.0,0.6842105263157895,1.0,1.0,0.4,0.0
120,6,6,1,1,6,1,1,0,14,8,0.42857142857142855,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.75,0.125,0.125,0.0,0.5714285714285714,1.0,1.0,0.16666666666666666,0.0
121,11,10,4,4,5,1,5,0,25,15,0.44,0.16,0.2,0.2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.6,0.9090909090909091,1.0,0.2,0.0
122,8,8,1,1,6,1,5,0,20,10,0.4,0.05,0.3,0.25,0.8,0.1,0.1,0.0,0.5,1.0,1.0,0.16666666666666666,0.0
123,1,1,0,0,8,3,4,0,13,4,0.07692307692307693,0.0,0.6153846153846154,0.3076923076923077,0.25,0.0,0.75,0.0,0.3076923076923077,1.0,0.0,0.375,0.0
124,8,6,0,0,5,2,2,0,15,8,0.5333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.75,0.0,0.25,0.0,0.5333333333333333,0.75,0.0,0.4,0.0
125,2,1,1,1,12,5,3,0,18,7,0.1111111111111111,0.05555555555555555,0.6666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.3888888888888889,0.5,1.0,0.4166666666666667,0.0
126,1,1,2,2,6,2,4,0,13,5,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.2,0.4,0.4,0.0,0.38461538461538464,1.0,1.0,0.3333333333333333,0.0
127,1,1,2,2,7,4,2,0,12,7,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.5833333333333334,1.0,1.0,0.5714285714285714,0.0
128,4,3,1,1,10,2,5,0,20,6,0.2,0.05,0.5,0.25,0.5,0.16666666666666666,0.3333333333333333,0.0,0.3,0.75,1.0,0.2,0.0
129,3,2,3,3,6,3,3,0,15,8,0.2,0.2,0.4,0.2,0.25,0.375,0.375,0.0,0.5333333333333333,0.6666666666666666,1.0,0.5,0.0
130,2,2,3,3,5,1,2,0,12,6,0.16666666666666666,0.25,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.0,0.5,1.0,1.0,0.2,0.0
131,3,3,1,1,8,3,4,0,16,7,0.1875,0.0625,0.5,0.25,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.4375,1.0,1.0,0.375,0.0
132,2,2,1,1,3,3,4,0,10,6,0.2,0.1,0.3,0.4,0.3333333333333333,0.16666666666666666,0.5,0.0,0.6,1.0,1.0,1.0,0.0
133,4,3,0,0,11,1,7,0,22,4,0.18181818181818182,0.0,0.5,0.3181818181818182,0.75,0.0,0.25,0.0,0.18181818181818182,0.75,0.0,0.09090909090909091,0.0
134,11,10,0,0,8,2,5,0,24,12,0.4583333333333333,0.0,0.3333333333333333,0.20833333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.5,0.9090909090909091,0.0,0.25,0.0
135,6,5,0,0,12,1,4,0,22,6,0.2727272727272727,0.0,0.5454545454545454,0.18181818181818182,0.8333333333333334,0.0,0.16666666666666666,0.0,0.2727272727272727,0.8333333333333334,0.0,0.08333333333333333,0.0
136,3,2,1,1,10,1,1,0,15,4,0.2,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.5,0.25,0.25,0.0,0.26666666666666666,0.6666666666666666,1.0,0.1,0.0
137,8,6,0,0,6,1,8,0,22,7,0.36363636363636365,0.0,0.2727272727272727,0.36363636363636365,0.8571428571428571,0.0,0.14285714285714285,0.0,0.3181818181818182,0.75,0.0,0.16666666666666666,0.0
138,3,2,2,2,13,6,6,0,24,10,0.125,0.08333333333333333,0.5416666666666666,0.25,0.2,0.2,0.6,0.0,0.4166666666666667,0.6666666666666666,1.0,0.46153846153846156,0.0
139,8,8,1,1,6,1,4,0,19,10,0.42105263157894735,0.05263157894736842,0.3157894736842105,0.21052631578947367,0.8,0.1,0.1,0.0,0.5263157894736842,1.0,1.0,0.16666666666666666,0.0
140,6,4,1,1,6,3,5,0,18,8,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.2777777777777778,0.5,0.125,0.375,0.0,0.4444444444444444,0.6666666666666666,1.0,0.5,0.0
141,3,3,2,2,9,3,2,0,16,8,0.1875,0.125,0.5625,0.125,0.375,0.25,0.375,0.0,0.5,1.0,1.0,0.3333333333333333,0.0
142,3,2,3,3,7,2,1,0,14,7,0.21428571428571427,0.21428571428571427,0.5,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5,0.6666666666666666,1.0,0.2857142857142857,0.0
143,5,4,0,0,7,1,3,0,15,5,0.3333333333333333,0.0,0.4666666666666667,0.2,0.8,0.0,0.2,0.0,0.3333333333333333,0.8,0.0,0.14285714285714285,0.0
144,7,7,0,0,1,0,8,0,16,7,0.4375,0.0,0.0625,0.5,1.0,0.0,0.0,0.0,0.4375,1.0,0.0,0.0,0.0
145,7,6,1,1,11,5,0,0,19,12,0.3684210526315789,0.05263157894736842,0.5789473684210527,0.0,0.5,0.08333333333333333,0.4166666666666667,0.0,0.631578947368421,0.8571428571428571,1.0,0.45454545454545453,0.0
146,6,6,0,0,4,2,6,0,16,8,0.375,0.0,0.25,0.375,0.75,0.0,0.25,0.0,0.5,1.0,0.0,0.5,0.0
147,5,5,0,0,6,1,4,0,15,6,0.3333333333333333,0.0,0.4,0.26666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.0,0.4,1.0,0.0,0.16666666666666666,0.0
148,7,6,2,2,8,1,2,0,19,9,0.3684210526315789,0.10526315789473684,0.42105263157894735,0.10526315789473684,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.47368421052631576,0.8571428571428571,1.0,0.125,0.0
149,9,8,3,3,12,0,2,0,26,11,0.34615384615384615,0.11538461538461539,0.46153846153846156,0.07692307692307693,0.7272727272727273,0.2727272727272727,0.0,0.0,0.4230769230769231,0.8888888888888888,1.0,0.0,0.0
150,1,1,1,1,5,3,0,0,7,5,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.2,0.2,0.6,0.0,0.7142857142857143,1.0,1.0,0.6,0.0
151,3,3,0,0,10,3,5,0,18,6,0.16666666666666666,0.0,0.5555555555555556,0.2777777777777778,0.5,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.3,0.0
152,4,3,1,1,9,1,3,0,17,5,0.23529411764705882,0.058823529411764705,0.5294117647058824,0.17647058823529413,0.6,0.2,0.2,0.0,0.29411764705882354,0.75,1.0,0.1111111111111111,0.0
153,4,3,0,0,6,1,7,0,17,4,0.23529411764705882,0.0,0.35294117647058826,0.4117647058823529,0.75,0.0,0.25,0.0,0.23529411764705882,0.75,0.0,0.16666666666666666,0.0
154,7,5,1,1,12,3,4,0,24,9,0.2916666666666667,0.041666666666666664,0.5,0.16666666666666666,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.375,0.7142857142857143,1.0,0.25,0.0
155,4,3,2,2,11,5,5,0,22,10,0.18181818181818182,0.09090909090909091,0.5,0.22727272727272727,0.3,0.2,0.5,0.0,0.45454545454545453,0.75,1.0,0.45454545454545453,0.0
156,5,5,2,2,4,1,2,0,13,8,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.625,0.25,0.125,0.0,0.6153846153846154,1.0,1.0,0.25,0.0
157,7,6,1,1,7,0,1,0,16,7,0.4375,0.0625,0.4375,0.0625,0.8571428571428571,0.14285714285714285,0.0,0.0,0.4375,0.8571428571428571,1.0,0.0,0.0
158,11,10,3,3,5,2,6,0,25,15,0.44,0.12,0.2,0.24,0.6666666666666666,0.2,0.13333333333333333,0.0,0.6,0.9090909090909091,1.0,0.4,0.0
159,8,6,1,1,5,2,2,0,16,9,0.5,0.0625,0.3125,0.125,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0,0.5625,0.75,1.0,0.4,0.0
160,4,3,1,1,11,2,3,0,19,6,0.21052631578947367,0.05263157894736842,0.5789473684210527,0.15789473684210525,0.5,0.16666666666666666,0.3333333333333333,0.0,0.3157894736842105,0.75,1.0,0.18181818181818182,0.0
161,9,9,1,1,9,2,1,0,20,12,0.45,0.05,0.45,0.05,0.75,0.08333333333333333,0.16666666666666666,0.0,0.6,1.0,1.0,0.2222222222222222,0.0
162,8,8,2,2,4,2,4,0,18,12,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,1.0,0.5,0.0
163,5,5,0,0,8,1,4,0,17,6,0.29411764705882354,0.0,0.47058823529411764,0.23529411764705882,0.8333333333333334,0.0,0.16666666666666666,0.0,0.35294117647058826,1.0,0.0,0.125,0.0
164,6,5,1,1,7,3,4,0,18,9,0.3333333333333333,0.05555555555555555,0.3888888888888889,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.5,0.8333333333333334,1.0,0.42857142857142855,0.0
165,4,4,0,0,4,0,3,0,11,4,0.36363636363636365,0.0,0.36363636363636365,0.2727272727272727,1.0,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.0
166,5,5,1,1,10,3,4,0,20,9,0.25,0.05,0.5,0.2,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.45,1.0,1.0,0.3,0.0
167,6,5,0,0,8,4,3,0,17,9,0.35294117647058826,0.0,0.47058823529411764,0.17647058823529413,0.5555555555555556,0.0,0.4444444444444444,0.0,0.5294117647058824,0.8333333333333334,0.0,0.5,0.0
168,10,10,0,0,10,4,4,0,24,14,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,0.7142857142857143,0.0,0.2857142857142857,0.0,0.5833333333333334,1.0,0.0,0.4,0.0
169,9,8,3,3,3,0,4,0,19,11,0.47368421052631576,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.7272727272727273,0.2727272727272727,0.0,0.0,0.5789473684210527,0.8888888888888888,1.0,0.0,0.0
170,4,4,1,1,6,2,4,0,15,7,0.26666666666666666,0.06666666666666667,0.4,0.26666666666666666,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.4666666666666667,1.0,1.0,0.3333333333333333,0.0
171,8,6,1,1,4,1,7,0,20,8,0.4,0.05,0.2,0.35,0.75,0.125,0.125,0.0,0.4,0.75,1.0,0.25,0.0
172,5,5,3,3,9,2,3,0,20,10,0.25,0.15,0.45,0.15,0.5,0.3,0.2,0.0,0.5,1.0,1.0,0.2222222222222222,0.0
173,8,7,2,2,4,0,3,0,17,9,0.47058823529411764,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.7777777777777778,0.2222222222222222,0.0,0.0,0.5294117647058824,0.875,1.0,0.0,0.0
174,5,5,0,0,11,2,4,0,20,7,0.25,0.0,0.55,0.2,0.7142857142857143,0.0,0.2857142857142857,0.0,0.35,1.0,0.0,0.18181818181818182,0.0
175,6,5,1,1,7,2,4,0,18,8,0.3333333333333333,0.05555555555555555,0.3888888888888889,0.2222222222222222,0.625,0.125,0.25,0.0,0.4444444444444444,0.8333333333333334,1.0,0.2857142857142857,0.0
176,2,2,1,1,9,5,3,0,15,8,0.13333333333333333,0.06666666666666667,0.6,0.2,0.25,0.125,0.625,0.0,0.5333333333333333,1.0,1.0,0.5555555555555556,0.0
177,8,8,0,0,10,5,2,0,20,13,0.4,0.0,0.5,0.1,0.6153846153846154,0.0,0.38461538461538464,0.0,0.65,1.0,0.0,0.5,0.0
178,5,5,0,0,5,1,5,0,15,6,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,0.4,1.0,0.0,0.2,0.0
179,4,3,2,2,9,2,2,0,17,7,0.23529411764705882,0.11764705882352941,0.5294117647058824,0.11764705882352941,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4117647058823529,0.75,1.0,0.2222222222222222,0.0
180,4,2,1,1,9,3,3,0,17,6,0.23529411764705882,0.058823529411764705,0.5294117647058824,0.17647058823529413,0.3333333333333333,0.16666666666666666,0.5,0.0,0.35294117647058826,0.5,1.0,0.3333333333333333,0.0
181,4,4,0,0,7,1,4,0,15,5,0.26666666666666666,0.0,0.4666666666666667,0.26666666666666666,0.8,0.0,0.2,0.0,0.3333333333333333,1.0,0.0,0.14285714285714285,0.0
182,3,2,2,2,7,0,2,0,14,4,0.21428571428571427,0.14285714285714285,0.5,0.14285714285714285,0.5,0.5,0.0,0.0,0.2857142857142857,0.6666666666666666,1.0,0.0,0.0
183,3,3,2,2,6,3,8,0,19,8,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.42105263157894735,0.375,0.25,0.375,0.0,0.42105263157894735,1.0,1.0,0.5,0.0
184,3,3,1,1,6,3,5,0,15,7,0.2,0.06666666666666667,0.4,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.4666666666666667,1.0,1.0,0.5,0.0
185,6,6,3,3,7,4,3,0,19,13,0.3157894736842105,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.0,0.6842105263157895,1.0,1.0,0.5714285714285714,0.0
186,5,5,3,3,7,1,5,0,20,9,0.25,0.15,0.35,0.25,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.45,1.0,1.0,0.14285714285714285,0.0
187,3,3,1,1,10,4,5,0,19,8,0.15789473684210525,0.05263157894736842,0.5263157894736842,0.2631578947368421,0.375,0.125,0.5,0.0,0.42105263157894735,1.0,1.0,0.4,0.0
188,3,3,0,0,9,4,8,0,20,7,0.15,0.0,0.45,0.4,0.42857142857142855,0.0,0.5714285714285714,0.0,0.35,1.0,0.0,0.4444444444444444,0.0
189,6,5,0,0,9,2,7,0,22,7,0.2727272727272727,0.0,0.4090909090909091,0.3181818181818182,0.7142857142857143,0.0,0.2857142857142857,0.0,0.3181818181818182,0.8333333333333334,0.0,0.2222222222222222,0.0
190,3,3,1,1,5,3,4,0,13,7,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.5384615384615384,1.0,1.0,0.6,0.0
191,10,9,2,2,5,1,4,0,21,12,0.47619047619047616,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.75,0.16666666666666666,0.08333333333333333,0.0,0.5714285714285714,0.9,1.0,0.2,0.0
192,7,7,2,2,7,3,3,0,19,12,0.3684210526315789,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.5833333333333334,0.16666666666666666,0.25,0.0,0.631578947368421,1.0,1.0,0.42857142857142855,0.0
193,6,5,1,1,6,3,7,0,20,9,0.3,0.05,0.3,0.35,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.45,0.8333333333333334,1.0,0.5,0.0
194,6,6,1,1,10,3,3,0,20,10,0.3,0.05,0.5,0.15,0.6,0.1,0.3,0.0,0.5,1.0,1.0,0.3,0.0
195,5,5,0,0,8,3,4,0,17,8,0.29411764705882354,0.0,0.47058823529411764,0.23529411764705882,0.625,0.0,0.375,0.0,0.47058823529411764,1.0,0.0,0.375,0.0
